ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,NIVEL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?
ga162i6hrcweih9ir9qrryga162i631j,30,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Rio Grande do Norte (RN),RN,Nordeste,TRUE,,Doutorado ou Phd,Ciências Sociais,Somente Estudante (pós-graduação),,,,,,,,,
g9w9cf60l0f9atf67sdfwg9w9cf9wikq,33,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Velocidade de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira",TRUE,Pernambuco (PE),PE,Nordeste,TRUE,,Mestrado,Outra opção,"Desempregado, buscando recolocação",,,,,,,,,
g9qrrs741kdmg9qrl63lwjealiosmmfi,32,30-34,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia","Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,TRUE,Gerente/Head,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g9pu5cracm8omqog9pu5cra89bdit0bd,31,30-34,Masculino,Branca,Não,,,TRUE,Distrito Federal (DF),DF,Centro-oeste,TRUE,,Graduação/Bacharelado,Outras Engenharias,"Desempregado, buscando recolocação",,,,,,,,,
g955m9c5vosk5g9zdg9553mmkbsvqd0p,27,25-29,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Varejo,Acima de 3.000,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g8tv9r2tfcu0fkdg8tf1k6bil3bt9a0b,30,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,FALSE,Sudeste,Graduação/Bacharelado,Outra opção,Empregado (CLT),Área da Saúde,Acima de 3.000,FALSE,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 3 a 4 anos
g87xo3ekbji0e1o7q8g87rs4gehzgky4,39,35-39,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Oportunidades de progressão de carreira,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,Acima de 3.000,FALSE,,Analista de Suporte/Analista Técnico,Sênior,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,de 5 a 6 anos
g844kbevwqkm2xtl4dg844w68y0syrxo,30,30-34,Masculino,Branca,Não,,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,FALSE,Sul,Doutorado ou Phd,Ciências Sociais,"Desempregado, buscando recolocação",,,,,,,,,
g80f243gvzy817xn25ek8g80f28g3166,39,35-39,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Velocidade de progressão de carreira",TRUE,Distrito Federal (DF),DF,Centro-oeste,TRUE,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Outra Opção,Acima de 3.000,FALSE,,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,Mais de 10 anos
g7sqtjcvoz7edt7jg7sqdf8ed229tyk3,26,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Goiás (GO),GO,Centro-oeste,FALSE,Nordeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Setor Imobiliário/ Construção Civil,de 501 a 1.000,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano
